,job_id,config_hash,timestamp,success,cv_scores,mean_score,std_score,train_scores,mean_train_score,fit_time_mean,score_time_mean,hyperparameters.alpha,hyperparameters.max_iter,hyperparameters.solver,hyperparameters.tol,additional_metrics.neg_mean_squared_error.mean,additional_metrics.neg_mean_squared_error.std,additional_metrics.neg_mean_absolute_error.mean,additional_metrics.neg_mean_absolute_error.std,additional_metrics.neg_root_mean_squared_error.mean,additional_metrics.neg_root_mean_squared_error.std
3517,3517,7a5a079d4f2b,2026-03-21 10:25:08,True,[0.26961324 0.31523985 0.24371659 0.30409522 0.22806389],0.27214575869900404,0.033572938349408395,[0.27958198 0.2696229  0.28631711 0.27232376 0.28985992],0.2795411344929154,0.0007807731628417969,0.0007545948028564453,8.4,500,lsqr,0.001,-0.16359746728133168,0.008828585849908647,-0.33828174618459944,0.008175367062277825,-0.4043225837173055,0.010987064098028881
3518,3518,0c1569cb00b6,2026-03-21 10:25:08,True,[0.24598592 0.3015607  0.24379736 0.27431788 0.19490216],0.25211280380309253,0.03554687638106702,[0.26533572 0.25667776 0.27250011 0.25233054 0.26926783],0.2632223925331433,0.0007009506225585938,0.000747060775756836,8.4,500,lsqr,0.01,-0.16807787907343957,0.00879646424771667,-0.34392413773436437,0.0077719675508731295,-0.4098297829382965,0.010836424234421953
3519,3519,4f2484fcce30,2026-03-21 10:25:08,True,[0.28852961 0.32294418 0.24248879 0.29501345 0.2442788 ],0.2786509651031034,0.031036611500001476,[0.2845777  0.27817924 0.29710005 0.28469045 0.29607321],0.2881241314017889,0.0007292747497558594,0.0006972789764404297,8.4,500,sparse_cg,0.0001,-0.16213528742611788,0.008343727472733297,-0.3357642423104933,0.00682388051494477,-0.4025254652311857,0.010418122025363465
3520,3520,ab609354577f,2026-03-21 10:25:08,True,[0.28852961 0.32294418 0.24248879 0.29501345 0.2442788 ],0.2786509651031034,0.031036611500001476,[0.2845777  0.27817924 0.29710005 0.28469045 0.29607321],0.2881241314017889,0.0007813453674316406,0.0007264137268066407,8.4,500,sparse_cg,0.001,-0.16213528742611788,0.008343727472733297,-0.3357642423104933,0.00682388051494477,-0.4025254652311857,0.010418122025363465
3521,3521,4ac6a74def52,2026-03-21 10:25:08,True,[0.26961339 0.31524289 0.24371685 0.30408434 0.22807329],0.2721461521664627,0.03356913615440688,[0.27958198 0.2696229  0.28631711 0.27232377 0.28985993],0.2795411375567478,0.000796651840209961,0.0007452487945556641,8.4,500,sparse_cg,0.01,-0.16359739267422063,0.008828123886881919,-0.33828156321023206,0.008176748967466549,-0.4043225067392452,0.010986501641272363
3522,3522,18336329d8f8,2026-03-21 10:25:08,True,[0.27306075 0.31765722 0.2448153  0.30411365 0.23134581],0.274198544702967,0.033119770504553885,[0.28094174 0.27183749 0.28928583 0.27567337 0.29163466],0.2818746169921783,0.03580389022827148,0.0011415958404541015,8.4,500,sag,0.0001,-0.16313657683416521,0.00874561296283202,-0.3377880213051898,0.008049757766679511,-0.4037546068470606,0.010899279056006687
3523,3523,88506a4ecb18,2026-03-21 10:25:08,True,[0.27306075 0.31765722 0.2448153  0.30411365 0.23134581],0.274198544702967,0.033119770504553885,[0.28094174 0.27183749 0.28928583 0.27567337 0.29163466],0.2818746169921783,0.03645648956298828,0.0007654666900634765,8.4,500,sag,0.001,-0.16313657683416521,0.00874561296283202,-0.3377880213051898,0.008049757766679511,-0.4037546068470606,0.010899279056006687
3524,3524,b86b8c065d31,2026-03-21 10:25:08,True,[0.2668456  0.31344525 0.246139   0.30189645 0.22718658],0.2711025755422851,0.03259165911858901,[0.27864612 0.2686307  0.28511558 0.27132684 0.28889677],0.27852320343668524,0.003936910629272461,0.00078582763671875,8.4,500,sag,0.01,-0.16383095362686328,0.008625558948381688,-0.33933750455376177,0.007894797083424021,-0.4046181017484537,0.010730580801671604
3525,3525,9f11e8728a93,2026-03-21 10:25:08,True,[0.27122032 0.31640542 0.24438043 0.30413218 0.22965187],0.27315804452540293,0.03332994052290239,[0.28024568 0.2706983  0.28776513 0.27395196 0.29073463],0.2806791401561581,0.04498867988586426,0.000939035415649414,8.4,500,saga,0.0001,-0.16337016474158766,0.0087833347849171,-0.3380691017890761,0.008107048388456679,-0.404042711097365,0.010938571692816049
3526,3526,fab33bd9d765,2026-03-21 10:25:08,True,[0.26943964 0.31640542 0.24438043 0.30413218 0.22894692],0.2726609176841472,0.03354130916018218,[0.27968763 0.2706983  0.28776513 0.27395196 0.29034679],0.28048996194484976,0.03612704277038574,0.0008085727691650391,8.4,500,saga,0.001,-0.1634837519581151,0.00885867807494248,-0.3381999463792914,0.008247720637226771,-0.4041807498170977,0.011030568226698161
