job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_neighbors,weights,metric,p,leaf_size,algorithm,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
29,1f4e22559265,2026-04-15 16:03:18,True,0.6912698412698413,0.04822628696412554,1.0,0.00040297508239746095,0.024554634094238283,29,distance,euclidean,3,50,kd_tree,0.6720398998846091,0.06934509743358631,0.6912698412698413,0.04822628696412554,0.6837067011704994,0.06338025693879189,0.6806077548182811,0.06646592791604322,0.6838335738335738,0.05809144667778015,0.8938161539403776,0.021430040834661174
30,b42213204462,2026-04-15 16:03:20,True,0.7757142857142858,0.07131490073447101,1.0,0.0027018070220947267,0.020831537246704102,9,distance,manhattan,1,40,auto,0.7683642347990174,0.074417804360391,0.7757142857142858,0.07131490073447101,0.773363084580476,0.073315450225363,0.7792106042106042,0.06595452044407331,0.7755796055796055,0.07378184831989804,0.9141206689560727,0.025226173068316465
31,7680d5d14f25,2026-04-15 16:03:23,True,0.7246031746031747,0.06704353041886627,1.0,0.0012113094329833985,0.025043201446533204,84,distance,manhattan,2,40,kd_tree,0.7179389275395822,0.06804959046564416,0.7246031746031747,0.06704353041886627,0.7285381461674765,0.06576965784876537,0.7291242091242092,0.0741805881077415,0.7146801346801347,0.06691254483659574,0.9212244625055185,0.02126445459122561
32,c0902c91bf7b,2026-04-15 16:03:26,True,0.7809523809523811,0.061647818410218116,1.0,0.001207447052001953,0.0307462215423584,5,distance,manhattan,2,50,brute,0.7696718136935529,0.06838516940556809,0.7809523809523811,0.061647818410218116,0.7756490062540786,0.06672407225160668,0.7873578273578273,0.05100437805022195,0.7749975949975949,0.06414535851264322,0.9119136271768259,0.03875097682936522
33,6e5d063af1ca,2026-04-15 16:03:30,True,0.7474603174603174,0.05435992328695073,1.0,0.0012093067169189453,0.023935317993164062,28,distance,manhattan,3,50,auto,0.7435480815480815,0.052376765871054054,0.7474603174603174,0.05435992328695073,0.7486837236837237,0.052640415177393374,0.7508780108780109,0.048462497750398986,0.7505002405002404,0.053285901940309195,0.9176118228447422,0.0114706769927501
34,4b40ad2380d6,2026-04-15 16:03:32,True,0.7528571428571429,0.07718856833679845,1.0,0.001211690902709961,0.020145320892333986,69,distance,manhattan,3,50,auto,0.7494654470596499,0.07615148530214959,0.7528571428571429,0.07718856833679845,0.755911386954175,0.07452677336215288,0.7646675546675546,0.08351138098469532,0.7507118807118809,0.07549443078590673,0.9196931323220143,0.022415867989712863
35,6e713a7b255e,2026-04-15 16:03:35,True,0.7190476190476192,0.06346229460858349,1.0,0.0014132976531982422,0.037791776657104495,88,distance,manhattan,3,50,auto,0.7048549021588817,0.06363064132561268,0.7190476190476192,0.06346229460858349,0.7170242717686915,0.06199981133603029,0.7350212360738676,0.08003274299394965,0.7057912457912459,0.06349323209384139,0.9214339778578908,0.020849398629339707
36,fd753ce10b19,2026-04-15 16:03:38,True,0.7301587301587302,0.08762566112606682,1.0,0.0008045196533203125,0.026102590560913085,81,distance,manhattan,2,40,kd_tree,0.7241710181416644,0.08730580885731946,0.7301587301587302,0.08762566112606682,0.7335342843898152,0.08482173533167454,0.7387590187590188,0.09680164567845134,0.7210293410293411,0.08622785574585151,0.9201703314513875,0.022380869370896544
37,2257fe60356c,2026-04-15 16:03:41,True,0.7471428571428571,0.06596302895726083,1.0,0.0019713878631591798,0.019236278533935548,45,distance,manhattan,2,40,kd_tree,0.7440657246530625,0.06715482110403329,0.7471428571428571,0.06596302895726083,0.750970663017265,0.06435548660870823,0.7538677988677989,0.06679535172052888,0.7463203463203463,0.06628186104601179,0.9197000451239582,0.021086310453799228
38,80f8c10f6c9b,2026-04-15 16:03:44,True,0.741904761904762,0.05236026527523157,1.0,0.0008044242858886719,0.016223382949829102,22,distance,manhattan,2,40,kd_tree,0.7302662300977303,0.057642274455403104,0.741904761904762,0.05236026527523157,0.7384535167049376,0.05707409974158035,0.7411341381929616,0.04588835993300314,0.7392833092833093,0.05489662851660599,0.9181771420436016,0.013149583796781168
