job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,kg_co2,energy_kwh,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std,folds_completed,error_message
14,b4f0c747f071,2026-07-31 12:53:51,False,,,,,,,,100,4,0.25,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
15,a930654d14d6,2026-07-31 12:53:57,False,,,,,,,,275,9,0.01,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
16,97d7c0aaa36f,2026-07-31 12:54:02,False,,,,,,,,250,13,0.14,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
17,1954b12af43e,2026-07-31 12:54:07,False,,,,,,,,225,6,0.09,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
18,bbb119c54091,2026-07-31 12:54:12,True,0.796,0.029223278392404906,0.89,0.019280099868774415,0.047902822494506836,1.237694251445521e-07,1.9123137280152006e-06,25,5,0.24,1.0,1.0,1,0,0.7060924100968946,0.04612945712926745,0.796,0.029223278392404906,0.7710089302759495,0.034537566912379254,0.8119145746591097,0.05735239449037649,0.6857142857142857,0.03946208605519563,0.7934523809523809,0.01813216782969103,5,
19,65362b9d1684,2026-07-31 12:54:17,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.019614696502685547,0.04498634338378906,1.226175715389501e-07,1.8945168814993187e-06,25,7,0.02,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7990119047619049,0.028118649446799836,5,
20,8f7b8b6cd4f4,2026-07-31 12:54:23,False,,,,,,,,300,7,0.02,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
21,65362b9d1684,2026-07-31 12:54:28,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.022672224044799804,0.04698987007141113,1.2902635690497826e-07,1.993536556358801e-06,25,7,0.02,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7990119047619049,0.028118649446799836,5,
22,65362b9d1684,2026-07-31 12:54:33,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.02222719192504883,0.045620965957641604,1.2826243458946876e-07,1.981733486825434e-06,25,7,0.02,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.7990119047619049,0.028118649446799836,5,
23,e2a4bbb3e716,2026-07-31 12:54:38,False,,,,,,,,25,7,0.22,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
24,f4e77112b3c4,2026-07-31 12:54:43,False,,,,,,,,250,7,0.15,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
