job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,alpha,tol,max_iter,fit_intercept,solver,neg_mean_squared_error_mean,neg_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std
10,874fa0bdcccc,2026-04-15 13:10:02,True,0.1894033770281991,0.015590607336113371,0.19501975847674458,0.03413124084472656,0.002643299102783203,2.4,0.001,100,False,saga,-0.18217180465812585,0.005617608036543591,-0.39019375283727187,0.0034567046989022717,-0.42676532424679825,0.006569830945388584
11,0a7ea6a40c8c,2026-04-15 13:10:02,True,0.278637631518055,0.031019264666566397,0.28813064181437464,0.001202392578125,0.003075695037841797,7.05,0.01,100,True,auto,-0.16213824655306058,0.008340116598988168,-0.3357484460820648,0.006810531359311801,-0.4025292678721263,0.010413215612413155
12,4f1a5477fd0d,2026-04-15 13:10:03,True,0.2712327361487462,0.03261370979291835,0.27863880096057064,0.03210172653198242,0.0026401519775390626,4.5,0.001,100,True,saga,-0.16380177618272884,0.008630796550215624,-0.3392782510194456,0.007902043840825657,-0.40458184737069897,0.010738014753260168
13,6528b4177bb5,2026-04-15 13:10:03,True,0.19223756128557826,0.017426430160816464,0.1979871606097421,0.0520576000213623,0.0022072792053222656,1.95,0.001,300,False,sag,-0.1815430781297486,0.006125386740590903,-0.38692698101124556,0.003982353843822297,-0.42601832678718454,0.00717379754358081
14,8115b9d195a3,2026-04-15 13:10:03,True,0.1935910189571643,0.01676514985446912,0.2009381708311321,0.0016042709350585938,0.001876497268676758,7.05,0.0001,300,False,svd,-0.18124290803741033,0.006147745893256895,-0.38620742643623013,0.0033179401288590754,-0.425665509488827,0.0071959758912657915
15,9a557a2d0387,2026-04-15 13:10:03,True,0.2721474833631984,0.03356822661300903,0.2795411425240425,0.001398611068725586,0.0020052433013916016,5.25,0.01,500,True,sparse_cg,-0.16359708802977993,0.008827859977092171,-0.3382806545223451,0.008175793721318986,-0.40432213915158605,0.010986165011749413
16,0a6e23fa53aa,2026-04-15 13:10:03,True,0.27859312415051746,0.03097013417165203,0.2881432915753467,0.0016142368316650391,0.003140544891357422,3.3,0.01,500,True,svd,-0.16214813719824311,0.008329828078605318,-0.3357044519089456,0.00677046543235079,-0.40254191665951045,0.010399160078144428
17,71b69438e7cf,2026-04-15 13:10:03,True,0.2733810064024268,0.0332895758866818,0.2809335681124213,0.07188892364501953,0.0025997161865234375,9.0,0.001,300,True,sag,-0.16332011838346433,0.00877626581542241,-0.33800911098368286,0.00809614798404214,-0.40398096788610693,0.010931421191618634
18,02936ac03a73,2026-04-15 13:10:04,True,0.2712323280086393,0.032613478278153446,0.2786383343705368,0.028136491775512695,0.0020000457763671873,6.3,0.0001,100,True,saga,-0.16380186599950153,0.00863071445926948,-0.33927870041418473,0.007901913975498531,-0.4045819610890681,0.010737912312238916
19,fbc3d95b3daa,2026-04-15 13:10:04,True,0.2786279767978207,0.03100759926032554,0.28813442762487373,0.0016071319580078125,0.0017937183380126952,6.15,0.001,300,True,svd,-0.16214039056935542,0.008337682123483655,-0.33573781734402997,0.006801462587364044,-0.4025320168038844,0.010409899958825753
20,8983b1702f62,2026-04-15 13:10:04,True,0.19214187759159107,0.017704259901021684,0.19780390982041263,0.001839447021484375,0.0019983768463134764,6.15,0.0001,500,False,lsqr,-0.18156579538555226,0.0062021369564597495,-0.3865472217359213,0.003974036571614692,-0.4260434774033974,0.00726297098803664
21,7be054a06209,2026-04-15 13:10:04,True,0.2786551131551822,0.031042355577831787,0.28812174702439264,0.0025076866149902344,0.0021209716796875,8.85,0.0001,300,True,svd,-0.16213436736770584,0.008344920681300074,-0.3357694542513248,0.006828300870920972,-0.4025242804816127,0.010419740422188498
22,ed6af73d8a22,2026-04-15 13:10:04,True,0.1657739192652308,0.01510461764819622,0.16956142797413512,0.001813220977783203,0.0035668373107910155,5.1,0.01,500,False,sparse_cg,-0.1874394574437278,0.0039575725101242114,-0.397034817708506,0.0024735899067270576,-0.4329186211900279,0.0045743710663839095
23,de843b888942,2026-04-15 13:10:04,True,0.27864520172026663,0.03102892037032041,0.2881271455455339,0.0018186092376708985,0.002203559875488281,7.8,0.001,100,True,sparse_cg,-0.16213656621101444,0.008342127818563926,-0.33575726445255205,0.006817974361293089,-0.4025271098839518,0.010415950244095628
