job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,alpha,tol,max_iter,fit_intercept,solver,neg_mean_squared_error_mean,neg_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std
12,3e1290f21492,2026-04-15 12:34:53,True,0.27863918372199314,0.031021201614673904,0.28812996705884136,0.001985931396484375,0.0017852306365966797,7.2,0.0001,100,True,sparse_cg,-0.1621379019437447,0.008340520285132996,-0.3357502114691061,0.006812025492589853,-0.4025288256080831,0.010413764848608733
13,e36a71e77661,2026-04-15 12:34:53,True,0.2785512605018007,0.030931879444682422,0.288146986327413,0.0017776966094970703,0.00195159912109375,0.45,0.0001,100,True,sparse_cg,-0.16215745216088168,0.008321750054001964,-0.33567256817003505,0.006740141652135166,-0.40255377368639067,0.01038804369108268
14,72eb970edd45,2026-04-15 12:34:54,True,0.2785488491443552,0.030929845655299323,0.2881470266071249,0.0018010616302490234,0.0026214122772216797,0.3,0.0001,100,True,cholesky,-0.16215798894368677,0.0083213186027039,-0.33567096222101955,0.006738470263113181,-0.4025544557811707,0.010387447925849072
15,ea5eb93ff253,2026-04-15 12:34:54,True,0.27866170102440035,0.03105188269320963,0.2881175426869142,0.002095937728881836,0.0023778438568115234,9.6,0.0001,500,True,sparse_cg,-0.16213290677602304,0.008346897581009373,-0.3357780841497794,0.006835616384059896,-0.40252239685600194,0.010422418400847061
16,65179b8d9172,2026-04-15 12:34:55,True,0.27855836458991723,0.030937972388609663,0.288146770138189,0.0026197433471679688,0.0032637596130371095,0.9,0.0001,500,True,svd,-0.16215587085339753,0.008323040610061602,-0.33567748053736396,0.00674494255871579,-0.40255176362699396,0.010389824550697715
17,8db520a4d4e8,2026-04-15 12:34:57,True,0.27420167136325746,0.03311999574619712,0.28187833573795545,0.19610133171081542,0.0048043251037597655,5.55,0.0001,500,True,sag,-0.16313587876491922,0.008745742243373817,-0.33778622814117776,0.008049879411503173,-0.4037537376535022,0.010899453919627346
18,f39aca45e64d,2026-04-15 12:34:59,True,0.27862291162219466,0.031001738919963717,0.2881361483632497,0.0033426761627197267,0.0032588481903076173,5.7,0.0001,500,True,sparse_cg,-0.16214151578183214,0.008336457272047628,-0.3357326199998595,0.006796628292589073,-0.4025334576706083,0.010408229319954174
19,1e5c6675a9ef,2026-04-15 12:35:00,True,0.2786509659112687,0.03103661059492986,0.28812413140153886,0.0034437179565429688,0.0032166481018066407,8.4,0.0001,500,True,sparse_cg,-0.16213528726733414,0.008343727720456037,-0.3357642485364215,0.006823889586670023,-0.40252546502447234,0.010418122391603713
20,e6dc0ab4b527,2026-04-15 12:35:01,True,0.27862963066619395,0.0310095441238644,0.2881338282945543,0.0037242412567138673,0.005022287368774414,6.3,0.0001,500,True,sparse_cg,-0.16214002320631593,0.008338088155655229,-0.33573956619794043,0.006803033738111126,-0.4025315461719566,0.010410453531423803
21,8bc77f2877e9,2026-04-15 12:35:02,True,0.27860861370321277,0.03098600302475597,0.2881401572593982,0.0020331382751464845,0.0024492740631103516,4.5,0.0001,500,True,sparse_cg,-0.16214469319575303,0.008333161314625148,-0.3357186418664887,0.006783619916203989,-0.40253752083035244,0.01040372623182013
22,6d9c43609d05,2026-04-15 12:35:03,True,0.2786104632282451,0.03098798369248555,0.2881397031533609,0.0024943828582763674,0.0034058094024658203,4.65,0.0001,500,True,sparse_cg,-0.16214428208619527,0.008333576525737041,-0.33572038959819794,0.0067852542892597395,-0.4025369955080726,0.0104042939947502
23,e08892e422d0,2026-04-15 12:35:05,True,0.27315827393356396,0.03333012893733103,0.2806794298183046,0.13488926887512206,0.002407693862915039,7.65,0.0001,500,True,saga,-0.1633701142299663,0.00878339144467792,-0.3380688127233286,0.0081071088330503,-0.40404264669310364,0.01093864174374952
24,ca75fed0e3a6,2026-04-15 12:35:05,True,0.278606739611278,0.030984030058275262,0.28814059770277883,0.0013382911682128906,0.002543020248413086,4.35,0.0001,500,True,sparse_cg,-0.16214510980856464,0.008332747385117049,-0.33571687589174065,0.006781983176086153,-0.40253805295403716,0.010403159738147814
25,d7431a8b1ebc,2026-04-15 12:35:06,True,0.27864954715092305,0.03103469124143333,0.2881249027550381,0.001302814483642578,0.0016297340393066407,8.25,0.0001,500,True,sparse_cg,-0.1621356019918233,0.00834332808320743,-0.33576250465160673,0.006822402376294775,-0.40252586999781725,0.010417580060823843
26,1d5d3e79fc89,2026-04-15 12:35:07,True,0.278632878795741,0.031013440186167328,0.2881325914500907,0.0016904354095458984,0.0018947601318359375,6.6,0.0001,500,True,sparse_cg,-0.1621393018504556,0.008338901388515577,-0.3357431298728587,0.0068060350436446254,-0.40253062149364516,0.010411561381244227
