job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,neg_mean_squared_error_mean,neg_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std
17,4ca15bb06c9b,2026-04-14 19:30:30,True,0.8387349169210327,0.0064310576896389315,0.9866162207151439,61.92288684844971,0.13688192367553711,225,8,0.14,0.8,-0.21462922128780554,0.007728148839989315,-0.3005256523509017,0.005205668849797984,-0.46320412995955884,0.008435358689092929
18,703ee2feb436,2026-04-14 19:32:32,True,0.8297033039304118,0.007997332539797623,0.9899974742956316,23.681867361068726,0.04563603401184082,100,10,0.14,0.8,-0.22668225576681517,0.010617440274118414,-0.30719716975592914,0.0061331853203785685,-0.4759794329198071,0.011217629168144732
19,f604971bd519,2026-04-14 19:35:32,True,0.8226255234496274,0.007338312612012087,0.9998743828510506,35.535599613189696,0.09245500564575196,225,12,0.14,0.8,-0.2360574023025767,0.008565259302630187,-0.3123720606828283,0.004448716345223857,-0.4857759401083356,0.008895971809730027
20,d9c189610dd9,2026-04-14 19:37:08,True,0.8417761613756507,0.006828032318679145,0.9641635668116487,18.70176911354065,0.03499584197998047,175,7,0.14,0.8,-0.2106029608794228,0.008875695312958894,-0.2998619934407939,0.006222879283900109,-0.4588108514349084,0.009775657778232874
21,0ae9c6f4b492,2026-04-14 19:39:03,True,0.836638192836104,0.006467192347397135,0.991243044774528,22.543920230865478,0.050414657592773436,175,9,0.14,0.8,-0.21742151652107883,0.007767488007720883,-0.3022509998419852,0.003946427148308807,-0.4662098168036482,0.008362011539553203
22,9455ca05fd13,2026-04-14 19:40:07,True,0.817511762740297,0.0070170948723592705,0.9987521341591302,12.357646417617797,0.042620182037353516,75,13,0.14,0.8,-0.2428777774527055,0.00846243758751309,-0.3170695097011481,0.005239585869968168,-0.4927502238145748,0.008659929756754663
23,2db5de7b5dee,2026-04-14 19:40:55,True,0.816524225431643,0.010088946552772078,0.8502004426461569,9.440496921539307,0.01345968246459961,200,3,0.14,0.8,-0.24421098456644116,0.013240464920638767,-0.33721964821244493,0.008261662808549664,-0.4939950805282618,0.013410629378120724
24,faa144ebc91b,2026-04-14 19:43:30,True,0.807324854344157,0.008160146828798776,0.9999757859325269,30.376223659515382,0.07045602798461914,150,13,0.2,0.95,-0.25643139115574887,0.009877434162852762,-0.32663205501793885,0.0051739425346971814,-0.5062960676845342,0.00978176890579452
25,1d68674d9dcb,2026-04-14 19:44:58,True,0.8148640149631369,0.00870814302841617,0.998998662335168,17.059387397766113,0.06481995582580566,150,12,0.16,0.55,-0.2463415412039336,0.009336514245889053,-0.32494537521456507,0.004742019215338053,-0.49623696702806186,0.009508614974005078
26,1f394cc52f82,2026-04-14 19:48:10,True,0.8199666772774841,0.006173064431717468,0.9977402213507615,37.77632098197937,0.09137425422668458,275,8,0.28,0.8,-0.23963081393913882,0.007852812048703748,-0.32246747488300925,0.00411472575961303,-0.4894549551223547,0.008041196758724695
27,f48eb3126e9b,2026-04-14 19:50:57,True,0.7918043799933905,0.007574840353711195,0.9999983518544981,32.5528486251831,0.10709376335144043,175,13,0.29,0.75,-0.2771226411261814,0.00993399447983947,-0.34344349509384053,0.006458343666201996,-0.5263383998940321,0.009514721392214709
28,334cdb44697c,2026-04-14 19:54:23,True,0.7946994440896357,0.00792160655483348,0.8732746595205547,40.75144858360291,0.06154923439025879,250,8,0.01,1.0,-0.273225979791339,0.009175556220775736,-0.36256206191147433,0.004528334054636009,-0.5226351528413145,0.008858713556429317
29,f1b45e900813,2026-04-14 19:55:51,True,0.8370555666475881,0.006464241941853263,0.9259519225153617,17.06629295349121,0.03322105407714844,150,7,0.06,0.8,-0.21689207100509983,0.008540428139923421,-0.3064295737428031,0.005579651712867029,-0.4656246955614664,0.009258179539817802
30,e7007d646e5b,2026-04-14 19:58:22,True,0.8433070664597608,0.006702054328614315,0.9444933353240886,29.351742601394655,0.0541193962097168,275,7,0.05,0.8,-0.20855453261322338,0.008442507062312072,-0.2988794452818014,0.006241947032862162,-0.45658266634763833,0.009316727113345578
